NOC,Sport,Gold,Silver,Bronze,Dominance
USA,Golf,12,12,14,0.8
CAN,Golf,1,0,0,0.8
GBR,Golf,1,1,1,0.8
KOR,Golf,1,0,0,0.8
NZL,Golf,0,1,0,0.8
