NOC,Sport,Gold,Silver,Bronze,Dominance
CHN,Diving,56,21,11,0.394366197
USA,Diving,48,46,46,0.394366197
GER,Diving,6,12,12,0.394366197
RUS,Diving,6,14,7,0.394366197
SWE,Diving,6,8,7,0.394366197
