NOC,Sport,Gold,Silver,Bronze,Dominance 
USA,Football,66,24,12,0.12815534
HUN,Football,46,17,16,0.12815534
URS,Football,36,0,51,0.12815534
GBR,Football,36,8,1,0.12815534
ARG,Football,34,34,0,0.12815534
