NOC,Medal,Sport,Gold,Silver,Bronze,Dominance
USA,Gold,Swimming,649,254,175,0.590536852
AUS,Gold,Swimming,118,162,121,0.590536852
GDR,Gold,Swimming,62,61,29,0.590536852
HUN,Gold,Swimming,36,32,80,0.590536852
NED,Gold,Swimming,30,48,36,0.590536852
