NOC,Sport,Gold,Silver,Bronze,Dominance
CUB,Baseball,64,48,0,0.571428571
KOR,Baseball,24,0,24,0.571428571
USA,Baseball,24,0,44,0.571428571
AUS,Baseball,0,24,0,0.571428571
JPN,Baseball,0,20,44,0.571428571
