NOC,Sport,Gold,Silver,Bronze,Dominance
USA,Tennis,34,10,18,0.320754717
GBR,Tennis,25,23,19,0.320754717
FRA,Tennis,12,11,15,0.320754717
GER,Tennis,5,7,3,0.320754717
RUS,Tennis,4,3,3,0.320754717
