NOC,Sport,Gold,Silver,Bronze,Dominance
USA,Basketball,281,24,36,0.769863014
URS,Basketball,48,50,48,0.769863014
EUN,Basketball,12,0,0,0.769863014
ARG,Basketball,12,0,12,0.769863014
YUG,Basketball,12,48,24,0.769863014
