NOC,Sport,Gold,Silver,Bronze,Dominance
URS,Weightlifting,39,21,2,0.179723502
CHN,Weightlifting,34,15,8,0.179723502
USA,Weightlifting,16,16,10,0.179723502
BUL,Weightlifting,12,16,8,0.179723502
FRA,Weightlifting,9,3,4,0.179723502
