NOC,Sport,Gold,Silver,Bronze,Dominance
CHN,Table Tennis,49,23,9,0.907407407
KOR,Table Tennis,4,6,23,0.907407407
SWE,Table Tennis,1,1,1,0.907407407
GER,Table Tennis,0,8,8,0.907407407
JPN,Table Tennis,0,6,4,0.907407407
