NOC,Sport,Gold,Silver,Bronze,Dominance
USA,Beach Volleyball,12,4,4,0.5
BRA,Beach Volleyball,6,14,6,0.5
GER,Beach Volleyball,4,0,2,0.5
AUS,Beach Volleyball,2,0,2,0.5
ITA,Beach Volleyball,0,2,0,0.5
