NOC,Sport,Gold,Silver,Bronze,Dominance
KOR,Archery,49,11,9,0.362962963
BEL,Archery,35,14,3,0.362962963
USA,Archery,22,19,16,0.362962963
NED,Archery,8,0,1,0.362962963
FRA,Archery,7,25,16,0.362962963
