NOC,Sport,Gold,Silver,Bronze,Dominance
ITA,Fencing,151,136,89,0.254208754
FRA,Fencing,129,92,72,0.254208754
HUN,Fencing,103,60,73,0.254208754
URS,Fencing,63,47,36,0.254208754
RUS,Fencing,33,10,19,0.254208754
