NOC,Medal,Sport,Gold,Silver,Bronze,Dominance
USA,Gold,Athletics,542,317,221,0.404779686
URS,Gold,Athletics,83,70,89,0.404779686
GBR,Gold,Athletics,78,133,127,0.404779686
FIN,Gold,Athletics,64,42,32,0.404779686
GDR,Gold,Athletics,50,51,39,0.404779686
