NOC,Sport,Gold,Silver,Bronze,Dominance
USA,Shooting,117,36,40,0.285365854
SWE,Shooting,32,54,40,0.285365854
GBR,Shooting,29,36,34,0.285365854
NOR,Shooting,29,33,15,0.285365854
SUI,Shooting,22,9,22,0.285365854
