NOC,Sport,Gold,Silver,Bronze,Dominance
URS,Wrestling,62,31,23,0.150121065
USA,Wrestling,52,42,34,0.150121065
JPN,Wrestling,32,20,17,0.150121065
TUR,Wrestling,29,18,16,0.150121065
RUS,Wrestling,29,16,15,0.150121065
