NOC,Sport,Gold,Silver,Bronze,Dominance
IND,Hockey,130,13,30,0.250965251
NED,Hockey,80,87,88,0.250965251
GER,Hockey,65,38,79,0.250965251
AUS,Hockey,64,45,79,0.250965251
GBR,Hockey,57,24,82,0.250965251
