NOC,Sport,Gold,Silver,Bronze,Dominance
NOR,Sailing,81,37,7,0.18
GBR,Sailing,71,48,24,0.18
USA,Sailing,60,45,35,0.18
SWE,Sailing,33,45,35,0.18
FRA,Sailing,30,39,48,0.18
