NOC,Sport,Gold,Silver,Bronze,Dominance
URS,Volleyball,81,48,12,0.251552795
BRA,Volleyball,60,36,24,0.251552795
JPN,Volleyball,36,32,33,0.251552795
USA,Volleyball,36,36,48,0.251552795
CHN,Volleyball,34,9,23,0.251552795
