NOC,Sport,Gold,Silver,Bronze,Dominance
DEN,Handball,59,0,0,0.169054441
URS,Handball,55,14,15,0.169054441
YUG,Handball,43,14,15,0.169054441
CRO,Handball,31,0,15,0.169054441
RUS,Handball,30,14,14,0.169054441
