NOC,Sport,Gold,Silver,Bronze,Dominance
CHN,Badminton,28,13,23,0.518518519
INA,Badminton,11,9,8,0.518518519
KOR,Badminton,11,12,12,0.518518519
JPN,Badminton,2,2,1,0.518518519
ESP,Badminton,1,0,0,0.518518519
