NOC,Sport,Gold,Silver,Bronze,Dominance
HUN,Water Polo,107,29,36,0.305714286
ITA,Water Polo,46,37,37,0.305714286
YUG,Water Polo,37,39,0,0.305714286
USA,Water Polo,32,72,46,0.305714286
GBR,Water Polo,27,0,1,0.305714286
