NOC,Sport,Gold,Silver,Bronze,Dominance
USA,Rowing,186,101,88,0.190184049
GDR,Rowing,139,24,21,0.190184049
GBR,Rowing,109,119,42,0.190184049
GER,Rowing,105,64,67,0.190184049
ROU,Rowing,65,58,52,0.190184049
